TYPE;Geom;Geo Local Area;geo_point_2d
Semi Actuated;"{""coordinates"": [-123.13069136535778, 49.27441031449617], ""type"": ""Point""}";Downtown;49.27441031449617, -123.13069136535778
RRFB;"{""coordinates"": [-123.13063036928273, 49.27404669892215], ""type"": ""Point""}";Downtown;49.27404669892215, -123.13063036928273
Special Crosswalk;"{""coordinates"": [-123.16250959276047, 49.261153366036275], ""type"": ""Point""}";Kitsilano;49.261153366036275, -123.16250959276047
Fixed Time;"{""coordinates"": [-123.08908882043553, 49.27389387852703], ""type"": ""Point""}";Strathcona;49.27389387852703, -123.08908882043553
Pedestrian Actuated Signal;"{""coordinates"": [-123.07411985553057, 49.28128251517314], ""type"": ""Point""}";Grandview-Woodland;49.28128251517314, -123.07411985553057
Semi Actuated;"{""coordinates"": [-123.0784973670246, 49.211071288081385], ""type"": ""Point""}";Sunset;49.211071288081385, -123.0784973670246
Fixed Time;"{""coordinates"": [-123.04129065700714, 49.22018022028651], ""type"": ""Point""}";Killarney;49.22018022028651, -123.04129065700714
Fixed Time;"{""coordinates"": [-123.12722428068236, 49.2571467033556], ""type"": ""Point""}";Fairview;49.2571467033556, -123.12722428068236
Pedestrian Actuated Signal;"{""coordinates"": [-123.07627885745973, 49.24456775274292], ""type"": ""Point""}";Kensington-Cedar Cottage;49.24456775274292, -123.07627885745973
Fixed Time;"{""coordinates"": [-123.12173901460541, 49.28400379444526], ""type"": ""Point""}";West End;49.28400379444526, -123.12173901460541
Fixed Time;"{""coordinates"": [-123.1412627986139, 49.25709278281202], ""type"": ""Point""}";Fairview;49.25709278281202, -123.1412627986139
Pedestrian Actuated Signal;"{""coordinates"": [-123.16651262701821, 49.264041479595754], ""type"": ""Point""}";Kitsilano;49.264041479595754, -123.16651262701821
Semi Actuated;"{""coordinates"": [-123.0719978244699, 49.21809738282451], ""type"": ""Point""}";Victoria-Fraserview;49.21809738282451, -123.0719978244699
Pedestrian Actuated Signal;"{""coordinates"": [-123.1301707404381, 49.210729253297515], ""type"": ""Point""}";Marpole;49.210729253297515, -123.1301707404381
Pedestrian Actuated Signal;"{""coordinates"": [-123.09100029964642, 49.21655718929789], ""type"": ""Point""}";Sunset;49.21655718929789, -123.09100029964642
Semi Actuated;"{""coordinates"": [-123.03898713759628, 49.207813749776854], ""type"": ""Point""}";Killarney;49.207813749776854, -123.03898713759628
Semi Actuated;"{""coordinates"": [-123.13134734944485, 49.27631138746138], ""type"": ""Point""}";Downtown;49.27631138746138, -123.13134734944485
Pedestrian Actuated Signal;"{""coordinates"": [-123.09529706835662, 49.28310443531361], ""type"": ""Point""}";Strathcona;49.28310443531361, -123.09529706835662
RRFB;"{""coordinates"": [-123.0519523072604, 49.28478638163587], ""type"": ""Point""}";Hastings-Sunrise;49.28478638163587, -123.0519523072604
Fixed Time;"{""coordinates"": [-123.11782870533737, 49.28658844598909], ""type"": ""Point""}";Downtown;49.28658844598909, -123.11782870533737
Fully Actuated;"{""coordinates"": [-123.18444539444106, 49.25792542812901], ""type"": ""Point""}";West Point Grey;49.25792542812901, -123.18444539444106
Pedestrian Actuated Signal;"{""coordinates"": [-123.12794764448456, 49.237656987046485], ""type"": ""Point""}";Shaughnessy;49.237656987046485, -123.12794764448456
Pedestrian Actuated Signal;"{""coordinates"": [-123.04417053974407, 49.27228605616203], ""type"": ""Point""}";Hastings-Sunrise;49.27228605616203, -123.04417053974407
Fixed Time;"{""coordinates"": [-123.04104671312976, 49.224741924794756], ""type"": ""Point""}";Killarney;49.224741924794756, -123.04104671312976
Semi Actuated;"{""coordinates"": [-123.16274611005062, 49.234686618233305], ""type"": ""Point""}";Arbutus Ridge;49.234686618233305, -123.16274611005062
Pedestrian Actuated Signal;"{""coordinates"": [-123.11515613345091, 49.2548994753615], ""type"": ""Point""}";South Cambie;49.2548994753615, -123.11515613345091
Fixed Time;"{""coordinates"": [-123.06973609148318, 49.263717933222736], ""type"": ""Point""}";Grandview-Woodland;49.263717933222736, -123.06973609148318
Pedestrian Actuated Signal;"{""coordinates"": [-123.09074089031972, 49.22651466384932], ""type"": ""Point""}";Sunset;49.22651466384932, -123.09074089031972
Pedestrian Actuated Signal;"{""coordinates"": [-123.094561696058, 49.23295448925944], ""type"": ""Point""}";Riley Park;49.23295448925944, -123.094561696058
Semi Actuated;"{""coordinates"": [-123.05663419236896, 49.25063456054054], ""type"": ""Point""}";Kensington-Cedar Cottage;49.25063456054054, -123.05663419236896
Pedestrian Actuated Signal;"{""coordinates"": [-123.10694634912439, 49.260306402737434], ""type"": ""Point""}";Mount Pleasant;49.260306402737434, -123.10694634912439
Pedestrian Actuated Signal;"{""coordinates"": [-123.15766644291331, 49.263904641209145], ""type"": ""Point""}";Kitsilano;49.263904641209145, -123.15766644291331
Fixed Time;"{""coordinates"": [-123.1109586709977, 49.28213217460731], ""type"": ""Point""}";Downtown;49.28213217460731, -123.1109586709977
Fully Actuated;"{""coordinates"": [-123.13789096052004, 49.269351756901884], ""type"": ""Point""}";Fairview;49.269351756901884, -123.13789096052004
Fixed Time;"{""coordinates"": [-123.10954633718234, 49.28251140954517], ""type"": ""Point""}";Downtown;49.28251140954517, -123.10954633718234
Fixed Time;"{""coordinates"": [-123.1405198958611, 49.208624219178674], ""type"": ""Point""}";Marpole;49.208624219178674, -123.1405198958611
Fixed Time;"{""coordinates"": [-123.10761716349298, 49.27970708640777], ""type"": ""Point""}";Downtown;49.27970708640777, -123.10761716349298
Semi Actuated;"{""coordinates"": [-123.08666266628883, 49.26621919715508], ""type"": ""Point""}";Strathcona;49.26621919715508, -123.08666266628883
Fully Actuated;"{""coordinates"": [-123.02364264510662, 49.269456750358955], ""type"": ""Point""}";Hastings-Sunrise;49.269456750358955, -123.02364264510662
Pedestrian Actuated Signal;"{""coordinates"": [-123.1757553852814, 49.268466509905345], ""type"": ""Point""}";Kitsilano;49.268466509905345, -123.1757553852814
