TYPE;Geom;Geo Local Area;geo_point_2d
Fixed Time;"{""coordinates"": [-123.12591582935231, 49.28670874558195], ""type"": ""Point""}";West End;49.28670874558195, -123.12591582935231
Semi Actuated;"{""coordinates"": [-123.13595456451368, 49.26700287713519], ""type"": ""Point""}";Fairview;49.26700287713519, -123.13595456451368
Pedestrian Actuated Signal;"{""coordinates"": [-123.10099764801558, 49.26201056420569], ""type"": ""Point""}";Mount Pleasant;49.26201056420569, -123.10099764801558
Fixed Time;"{""coordinates"": [-123.10151859325093, 49.23307915124383], ""type"": ""Point""}";Riley Park;49.23307915124383, -123.10151859325093
Fixed Time;"{""coordinates"": [-123.12338294864017, 49.28158057621615], ""type"": ""Point""}";Downtown;49.28158057621615, -123.12338294864017
Semi Actuated;"{""coordinates"": [-123.07989931236048, 49.21110373533503], ""type"": ""Point""}";Sunset;49.21110373533503, -123.07989931236048
Semi Actuated;"{""coordinates"": [-123.0422563386574, 49.20810714186729], ""type"": ""Point""}";Killarney;49.20810714186729, -123.0422563386574
Fixed Time;"{""coordinates"": [-123.11287506728425, 49.28466596847056], ""type"": ""Point""}";Downtown;49.28466596847056, -123.11287506728425
Fixed Time;"{""coordinates"": [-123.06587071136218, 49.2203038199914], ""type"": ""Point""}";Victoria-Fraserview;49.2203038199914, -123.06587071136218
Pedestrian Actuated Signal;"{""coordinates"": [-123.06508367909379, 49.24763257608888], ""type"": ""Point""}";Kensington-Cedar Cottage;49.24763257608888, -123.06508367909379
Fixed Time;"{""coordinates"": [-123.13908372401313, 49.24941356838867], ""type"": ""Point""}";Shaughnessy;49.24941356838867, -123.13908372401313
Pedestrian Actuated Signal;"{""coordinates"": [-123.13866468274965, 49.28521772771169], ""type"": ""Point""}";West End;49.28521772771169, -123.13866468274965
Fixed Time;"{""coordinates"": [-123.07722812848668, 49.276755795705874], ""type"": ""Point""}";Grandview-Woodland;49.276755795705874, -123.07722812848668
Semi Actuated;"{""coordinates"": [-123.11740527046337, 49.26584608426041], ""type"": ""Point""}";Fairview;49.26584608426041, -123.11740527046337
Pedestrian Actuated Signal;"{""coordinates"": [-123.02813949806652, 49.23208530066334], ""type"": ""Point""}";Renfrew-Collingwood;49.23208530066334, -123.02813949806652
Semi Actuated;"{""coordinates"": [-123.09827669806829, 49.210814260656065], ""type"": ""Point""}";Sunset;49.210814260656065, -123.09827669806829
Fully Actuated;"{""coordinates"": [-123.03377199925741, 49.25815024014211], ""type"": ""Point""}";Renfrew-Collingwood;49.25815024014211, -123.03377199925741
Fixed Time;"{""coordinates"": [-123.10997159382198, 49.281509932322024], ""type"": ""Point""}";Downtown;49.281509932322024, -123.10997159382198
Semi Actuated;"{""coordinates"": [-123.10638079666822, 49.27709577831108], ""type"": ""Point""}";Downtown;49.27709577831108, -123.10638079666822
Fixed Time;"{""coordinates"": [-123.1128853114284, 49.283388994520486], ""type"": ""Point""}";Downtown;49.283388994520486, -123.1128853114284
Fixed Time;"{""coordinates"": [-123.11282756670646, 49.264820685295895], ""type"": ""Point""}";Mount Pleasant;49.264820685295895, -123.11282756670646
Fixed Time;"{""coordinates"": [-123.09960646763466, 49.28228493852142], ""type"": ""Point""}";Downtown;49.28228493852142, -123.09960646763466
Fully Actuated;"{""coordinates"": [-123.19595198083873, 49.23464084103215], ""type"": ""Point""}";Dunbar-Southlands;49.23464084103215, -123.19595198083873
Pedestrian Actuated Signal;"{""coordinates"": [-123.09863878819723, 49.26196842662722], ""type"": ""Point""}";Mount Pleasant;49.26196842662722, -123.09863878819723
Semi Actuated;"{""coordinates"": [-123.02369899626859, 49.27210802685484], ""type"": ""Point""}";Hastings-Sunrise;49.27210802685484, -123.02369899626859
Pedestrian Actuated Signal;"{""coordinates"": [-123.18361703045734, 49.268589850653015], ""type"": ""Point""}";Kitsilano;49.268589850653015, -123.18361703045734
Pedestrian Actuated Signal;"{""coordinates"": [-123.13135756831112, 49.26348282118067], ""type"": ""Point""}";Fairview;49.26348282118067, -123.13135756831112
Semi Actuated;"{""coordinates"": [-123.10941867795283, 49.269295559061334], ""type"": ""Point""}";Mount Pleasant;49.269295559061334, -123.10941867795283
Fixed Time;"{""coordinates"": [-123.12008274725035, 49.2837645107884], ""type"": ""Point""}";Downtown;49.2837645107884, -123.12008274725035
Pedestrian Actuated Signal;"{""coordinates"": [-123.12849354541822, 49.221541795215], ""type"": ""Point""}";Oakridge;49.221541795215, -123.12849354541822
Semi Actuated;"{""coordinates"": [-123.12443524625583, 49.207070856345375], ""type"": ""Point""}";Marpole;49.207070856345375, -123.12443524625583
Fixed Time;"{""coordinates"": [-123.11913946858225, 49.288358979430576], ""type"": ""Point""}";Downtown;49.288358979430576, -123.11913946858225
Fixed Time;"{""coordinates"": [-123.11189381672449, 49.28531489007918], ""type"": ""Point""}";Downtown;49.28531489007918, -123.11189381672449
Pedestrian Actuated Signal;"{""coordinates"": [-123.0695335056495, 49.27484652476935], ""type"": ""Point""}";Grandview-Woodland;49.27484652476935, -123.0695335056495
Pedestrian Actuated Signal;"{""coordinates"": [-123.06900469079261, 49.2252102856567], ""type"": ""Point""}";Victoria-Fraserview;49.2252102856567, -123.06900469079261
Fixed Time;"{""coordinates"": [-123.06976268143181, 49.26231945954066], ""type"": ""Point""}";Grandview-Woodland;49.26231945954066, -123.06976268143181
Pedestrian Actuated Signal;"{""coordinates"": [-123.0833601717571, 49.259669132049034], ""type"": ""Point""}";Mount Pleasant;49.259669132049034, -123.0833601717571
Semi Actuated;"{""coordinates"": [-123.0312823071781, 49.232042628457], ""type"": ""Point""}";Renfrew-Collingwood;49.232042628457, -123.0312823071781
Fixed Time;"{""coordinates"": [-123.1211101043476, 49.28441949265852], ""type"": ""Point""}";Downtown;49.28441949265852, -123.1211101043476
Semi Actuated;"{""coordinates"": [-123.12137801910598, 49.27402761721159], ""type"": ""Point""}";Downtown;49.27402761721159, -123.12137801910598
Pedestrian Actuated Signal;"{""coordinates"": [-123.12823203195349, 49.22930241039073], ""type"": ""Point""}";Oakridge;49.22930241039073, -123.12823203195349
Pedestrian Actuated Signal;"{""coordinates"": [-123.12386239788903, 49.233806425859775], ""type"": ""Point""}";South Cambie;49.233806425859775, -123.12386239788903
Pedestrian Actuated Signal;"{""coordinates"": [-123.13862859230797, 49.261711094094565], ""type"": ""Point""}";Fairview;49.261711094094565, -123.13862859230797
Fixed Time;"{""coordinates"": [-123.10122753995721, 49.25658432489792], ""type"": ""Point""}";Mount Pleasant;49.25658432489792, -123.10122753995721
Pedestrian Actuated Signal;"{""coordinates"": [-123.04114434889749, 49.227258485769205], ""type"": ""Point""}";Killarney;49.227258485769205, -123.04114434889749
Fixed Time;"{""coordinates"": [-123.10443941948976, 49.2792457160063], ""type"": ""Point""}";Downtown;49.2792457160063, -123.10443941948976
Pedestrian Actuated Signal;"{""coordinates"": [-123.16467141405549, 49.26401434426519], ""type"": ""Point""}";Kitsilano;49.26401434426519, -123.16467141405549
Pedestrian Actuated Signal;"{""coordinates"": [-123.18522155760365, 49.2461713264686], ""type"": ""Point""}";Dunbar-Southlands;49.2461713264686, -123.18522155760365
Semi Actuated;"{""coordinates"": [-123.13600026554472, 49.26614660597865], ""type"": ""Point""}";Fairview;49.26614660597865, -123.13600026554472
Fixed Time;"{""coordinates"": [-123.10103718539578, 49.24877829320051], ""type"": ""Point""}";Riley Park;49.24877829320051, -123.10103718539578
Fixed Time;"{""coordinates"": [-123.06589456722608, 49.26229015717082], ""type"": ""Point""}";Grandview-Woodland;49.26229015717082, -123.06589456722608
Fixed Time;"{""coordinates"": [-123.12008017229145, 49.27735822716054], ""type"": ""Point""}";Downtown;49.27735822716054, -123.12008017229145
Pedestrian Actuated Signal;"{""coordinates"": [-123.05220464329966, 49.26201533392815], ""type"": ""Point""}";Hastings-Sunrise;49.26201533392815, -123.05220464329966
Semi Actuated;"{""coordinates"": [-123.11750296248512, 49.2632605291569], ""type"": ""Point""}";Fairview;49.2632605291569, -123.11750296248512
Fixed Time;"{""coordinates"": [-123.16840715817075, 49.25766675821357], ""type"": ""Point""}";Kitsilano;49.25766675821357, -123.16840715817075
Fixed Time;"{""coordinates"": [-123.11497081008999, 49.274110575249516], ""type"": ""Point""}";Downtown;49.274110575249516, -123.11497081008999
Fixed Time;"{""coordinates"": [-123.10212538833156, 49.27764216225362], ""type"": ""Point""}";Downtown;49.27764216225362, -123.10212538833156
Fixed Time;"{""coordinates"": [-123.13958801560999, 49.23433036869141], ""type"": ""Point""}";Shaughnessy;49.23433036869141, -123.13958801560999
Semi Actuated;"{""coordinates"": [-123.1787316674563, 49.23014811870591], ""type"": ""Point""}";Kerrisdale;49.23014811870591, -123.1787316674563
Pedestrian Actuated Signal;"{""coordinates"": [-123.04433292923814, 49.254391878589026], ""type"": ""Point""}";Renfrew-Collingwood;49.254391878589026, -123.04433292923814
Fully Actuated;"{""coordinates"": [-123.06515328208692, 49.24516452418804], ""type"": ""Point""}";Kensington-Cedar Cottage;49.24516452418804, -123.06515328208692
Fixed Time;"{""coordinates"": [-123.11557645248931, 49.27652657329399], ""type"": ""Point""}";Downtown;49.27652657329399, -123.11557645248931
Pedestrian Actuated Signal;"{""coordinates"": [-123.13755898794358, 49.29006920889632], ""type"": ""Point""}";West End;49.29006920889632, -123.13755898794358
Pedestrian Actuated Signal;"{""coordinates"": [-123.1397172892361, 49.230613921204764], ""type"": ""Point""}";Oakridge;49.230613921204764, -123.1397172892361
Pedestrian Actuated Signal;"{""coordinates"": [-123.12765061729289, 49.24630920810896], ""type"": ""Point""}";Shaughnessy;49.24630920810896, -123.12765061729289
Pedestrian Actuated Signal;"{""coordinates"": [-123.10125303465966, 49.24571413052933], ""type"": ""Point""}";Riley Park;49.24571413052933, -123.10125303465966
Special Crosswalk;"{""coordinates"": [-123.19093741130025, 49.234769279716495], ""type"": ""Point""}";Dunbar-Southlands;49.234769279716495, -123.19093741130025
Pedestrian Actuated Signal;"{""coordinates"": [-123.02814693792192, 49.22325133274245], ""type"": ""Point""}";Killarney;49.22325133274245, -123.02814693792192
Pedestrian Actuated Signal;"{""coordinates"": [-123.11531269753135, 49.251200105748104], ""type"": ""Point""}";South Cambie;49.251200105748104, -123.11531269753135
Pedestrian Actuated Signal;"{""coordinates"": [-123.02848487870641, 49.263455815095604], ""type"": ""Point""}";Hastings-Sunrise;49.263455815095604, -123.02848487870641
Pedestrian Actuated Signal;"{""coordinates"": [-123.14796663198481, 49.268053636265066], ""type"": ""Point""}";Kitsilano;49.268053636265066, -123.14796663198481
Fixed Time;"{""coordinates"": [-123.15303401240354, 49.2610033929151], ""type"": ""Point""}";Kitsilano;49.2610033929151, -123.15303401240354
Semi Actuated;"{""coordinates"": [-123.10172809712672, 49.27301599995348], ""type"": ""Point""}";Downtown;49.27301599995348, -123.10172809712672
Pedestrian Actuated Signal;"{""coordinates"": [-123.03882569507668, 49.28113206715714], ""type"": ""Point""}";Hastings-Sunrise;49.28113206715714, -123.03882569507668
Fixed Time;"{""coordinates"": [-123.13374007404094, 49.29259467647051], ""type"": ""Point""}";Downtown;49.29259467647051, -123.13374007404094
Fixed Time;"{""coordinates"": [-123.10430442445526, 49.282475700850775], ""type"": ""Point""}";Downtown;49.282475700850775, -123.10430442445526
Pedestrian Actuated Signal;"{""coordinates"": [-123.10205685074264, 49.21436304096814], ""type"": ""Point""}";Sunset;49.21436304096814, -123.10205685074264
Pedestrian Actuated Signal;"{""coordinates"": [-123.03375379498337, 49.26382079762432], ""type"": ""Point""}";Hastings-Sunrise;49.26382079762432, -123.03375379498337
Pedestrian Actuated Signal;"{""coordinates"": [-123.14579364300587, 49.26274852591238], ""type"": ""Point""}";Kitsilano;49.26274852591238, -123.14579364300587
Pedestrian Actuated Signal;"{""coordinates"": [-123.11822338992617, 49.2888499860022], ""type"": ""Point""}";Downtown;49.2888499860022, -123.11822338992617
Fixed Time;"{""coordinates"": [-123.10163200559306, 49.225663161812896], ""type"": ""Point""}";Sunset;49.225663161812896, -123.10163200559306
Fixed Time;"{""coordinates"": [-123.1046197756099, 49.27018937694364], ""type"": ""Point""}";Mount Pleasant;49.27018937694364, -123.1046197756099
Fixed Time;"{""coordinates"": [-123.04309226965945, 49.23296734370884], ""type"": ""Point""}";Renfrew-Collingwood;49.23296734370884, -123.04309226965945
Pedestrian Actuated Signal;"{""coordinates"": [-123.07720951876009, 49.277648858968824], ""type"": ""Point""}";Grandview-Woodland;49.277648858968824, -123.07720951876009
Fixed Time;"{""coordinates"": [-123.03380469156389, 49.2506001210149], ""type"": ""Point""}";Renfrew-Collingwood;49.2506001210149, -123.03380469156389
Pedestrian Actuated Signal;"{""coordinates"": [-123.13493186163417, 49.28280154508405], ""type"": ""Point""}";West End;49.28280154508405, -123.13493186163417
Fixed Time;"{""coordinates"": [-123.11837434562244, 49.284894034487934], ""type"": ""Point""}";Downtown;49.284894034487934, -123.11837434562244
Semi Actuated;"{""coordinates"": [-123.13849125173442, 49.26534700481128], ""type"": ""Point""}";Fairview;49.26534700481128, -123.13849125173442
Fixed Time;"{""coordinates"": [-123.10719520415721, 49.281990967793114], ""type"": ""Point""}";Downtown;49.281990967793114, -123.10719520415721
Semi Actuated;"{""coordinates"": [-123.02614899039581, 49.222270877333685], ""type"": ""Point""}";Killarney;49.222270877333685, -123.02614899039581
Pedestrian Actuated Signal;"{""coordinates"": [-123.13146261396186, 49.26065618197218], ""type"": ""Point""}";Fairview;49.26065618197218, -123.13146261396186
Pedestrian Actuated Signal;"{""coordinates"": [-123.12086027390829, 49.22627701167118], ""type"": ""Point""}";Oakridge;49.22627701167118, -123.12086027390829
Semi Actuated;"{""coordinates"": [-123.02359854109996, 49.277426838139384], ""type"": ""Point""}";Hastings-Sunrise;49.277426838139384, -123.02359854109996
Semi Actuated;"{""coordinates"": [-123.15544551653048, 49.23830158227174], ""type"": ""Point""}";Arbutus Ridge;49.23830158227174, -123.15544551653048
Pedestrian Actuated Signal;"{""coordinates"": [-123.14464534303987, 49.249501135078084], ""type"": ""Point""}";Shaughnessy;49.249501135078084, -123.14464534303987
Pedestrian Actuated Signal;"{""coordinates"": [-123.13252956940894, 49.23410407670223], ""type"": ""Point""}";Shaughnessy;49.23410407670223, -123.13252956940894
Pedestrian Actuated Signal;"{""coordinates"": [-123.1503657743047, 49.26809264551472], ""type"": ""Point""}";Kitsilano;49.26809264551472, -123.1503657743047
Fixed Time;"{""coordinates"": [-123.11488341925657, 49.26321845731994], ""type"": ""Point""}";Fairview;49.26321845731994, -123.11488341925657
Fixed Time;"{""coordinates"": [-123.10277812936832, 49.27633989029519], ""type"": ""Point""}";Downtown;49.27633989029519, -123.10277812936832
Pedestrian Actuated Signal;"{""coordinates"": [-123.06956082447462, 49.27303930299352], ""type"": ""Point""}";Grandview-Woodland;49.27303930299352, -123.06956082447462
Semi Actuated;"{""coordinates"": [-123.13126096460442, 49.266071184369935], ""type"": ""Point""}";Fairview;49.266071184369935, -123.13126096460442
Semi Actuated;"{""coordinates"": [-123.04951477025553, 49.24462149800202], ""type"": ""Point""}";Renfrew-Collingwood;49.24462149800202, -123.04951477025553
Semi Actuated;"{""coordinates"": [-123.06611125301778, 49.20968957521847], ""type"": ""Point""}";Victoria-Fraserview;49.20968957521847, -123.06611125301778
Pedestrian Actuated Signal;"{""coordinates"": [-123.06202607360247, 49.2622614900987], ""type"": ""Point""}";Grandview-Woodland;49.2622614900987, -123.06202607360247
Fully Actuated;"{""coordinates"": [-123.03148805443143, 49.28112248898481], ""type"": ""Point""}";Hastings-Sunrise;49.28112248898481, -123.03148805443143
Fully Actuated;"{""coordinates"": [-123.07750063293021, 49.262381200750234], ""type"": ""Point""}";Mount Pleasant;49.262381200750234, -123.07750063293021
Semi Actuated;"{""coordinates"": [-123.04231600102635, 49.23594291744542], ""type"": ""Point""}";Renfrew-Collingwood;49.23594291744542, -123.04231600102635
Semi Actuated;"{""coordinates"": [-123.10683001034131, 49.26305141638965], ""type"": ""Point""}";Mount Pleasant;49.26305141638965, -123.10683001034131
Pedestrian Actuated Signal;"{""coordinates"": [-123.10595862367781, 49.22575021636796], ""type"": ""Point""}";Oakridge;49.22575021636796, -123.10595862367781
Fixed Time;"{""coordinates"": [-123.13051997970032, 49.290516139915425], ""type"": ""Point""}";Downtown;49.290516139915425, -123.13051997970032
Semi Actuated;"{""coordinates"": [-123.11919894051387, 49.27456359730541], ""type"": ""Point""}";Downtown;49.27456359730541, -123.11919894051387
Fixed Time;"{""coordinates"": [-123.12040692371967, 49.287520332463934], ""type"": ""Point""}";Downtown;49.287520332463934, -123.12040692371967
Semi Actuated;"{""coordinates"": [-123.13459923401143, 49.208536189967994], ""type"": ""Point""}";Marpole;49.208536189967994, -123.13459923401143
Pedestrian Actuated Signal;"{""coordinates"": [-123.05995391163314, 49.26952455350114], ""type"": ""Point""}";Grandview-Woodland;49.26952455350114, -123.05995391163314
Pedestrian Actuated Signal;"{""coordinates"": [-123.13437161264002, 49.29218040924506], ""type"": ""Point""}";West End;49.29218040924506, -123.13437161264002
Semi Actuated;"{""coordinates"": [-123.10296078030674, 49.262960119659624], ""type"": ""Point""}";Mount Pleasant;49.262960119659624, -123.10296078030674
Semi Actuated;"{""coordinates"": [-123.21502422046723, 49.26910383515301], ""type"": ""Point""}";West Point Grey;49.26910383515301, -123.21502422046723
Semi Actuated;"{""coordinates"": [-123.17807688752329, 49.25781715927021], ""type"": ""Point""}";Kitsilano;49.25781715927021, -123.17807688752329
Pedestrian Actuated Signal;"{""coordinates"": [-123.1084143927424, 49.22581872144698], ""type"": ""Point""}";Oakridge;49.22581872144698, -123.1084143927424
Pedestrian Actuated Signal;"{""coordinates"": [-123.15325226675722, 49.24763371062091], ""type"": ""Point""}";Arbutus Ridge;49.24763371062091, -123.15325226675722
Semi Actuated;"{""coordinates"": [-123.06617338007642, 49.25292302963936], ""type"": ""Point""}";Kensington-Cedar Cottage;49.25292302963936, -123.06617338007642
Pedestrian Actuated Signal;"{""coordinates"": [-123.10159107865158, 49.238149511818825], ""type"": ""Point""}";Riley Park;49.238149511818825, -123.10159107865158
Semi Actuated;"{""coordinates"": [-123.13004695791862, 49.21445868576524], ""type"": ""Point""}";Marpole;49.21445868576524, -123.13004695791862
Pedestrian Actuated Signal;"{""coordinates"": [-123.14768116447807, 49.23445527089107], ""type"": ""Point""}";Shaughnessy;49.23445527089107, -123.14768116447807
Pedestrian Actuated Signal;"{""coordinates"": [-123.11519444493456, 49.253995174616996], ""type"": ""Point""}";South Cambie;49.253995174616996, -123.11519444493456
Semi Actuated;"{""coordinates"": [-123.02569630256151, 49.28112057589364], ""type"": ""Point""}";Hastings-Sunrise;49.28112057589364, -123.02569630256151
Pedestrian Actuated Signal;"{""coordinates"": [-123.12429526323386, 49.26054195985766], ""type"": ""Point""}";Fairview;49.26054195985766, -123.12429526323386
Semi Actuated;"{""coordinates"": [-123.02365377901295, 49.234453676472505], ""type"": ""Point""}";Renfrew-Collingwood;49.234453676472505, -123.02365377901295
Fixed Time;"{""coordinates"": [-123.03236650630303, 49.220099688336745], ""type"": ""Point""}";Killarney;49.220099688336745, -123.03236650630303
Semi Actuated;"{""coordinates"": [-123.0495781409695, 49.2620115074691], ""type"": ""Point""}";Hastings-Sunrise;49.2620115074691, -123.0495781409695
Pedestrian Actuated Signal;"{""coordinates"": [-123.137722854876, 49.20858601180683], ""type"": ""Point""}";Marpole;49.20858601180683, -123.137722854876
Fixed Time;"{""coordinates"": [-123.14575780952207, 49.26371386494577], ""type"": ""Point""}";Kitsilano;49.26371386494577, -123.14575780952207
Semi Actuated;"{""coordinates"": [-123.02706807322447, 49.26945984861798], ""type"": ""Point""}";Hastings-Sunrise;49.26945984861798, -123.02706807322447
Pedestrian Actuated Signal;"{""coordinates"": [-123.06188785108858, 49.26953967121078], ""type"": ""Point""}";Grandview-Woodland;49.26953967121078, -123.06188785108858
Pedestrian Actuated Signal;"{""coordinates"": [-123.10081306483141, 49.26641009118305], ""type"": ""Point""}";Mount Pleasant;49.26641009118305, -123.10081306483141
Fixed Time;"{""coordinates"": [-123.12375258509286, 49.285308132585314], ""type"": ""Point""}";West End;49.285308132585314, -123.12375258509286
Pedestrian Actuated Signal;"{""coordinates"": [-123.10094367863911, 49.25207939813878], ""type"": ""Point""}";Riley Park;49.25207939813878, -123.10094367863911
Semi Actuated;"{""coordinates"": [-123.081309663342, 49.26523113331389], ""type"": ""Point""}";Strathcona;49.26523113331389, -123.081309663342
Fixed Time;"{""coordinates"": [-123.08911893564972, 49.26247371365084], ""type"": ""Point""}";Mount Pleasant;49.26247371365084, -123.08911893564972
Pedestrian Actuated Signal;"{""coordinates"": [-123.07176353561131, 49.22523391737964], ""type"": ""Point""}";Victoria-Fraserview;49.22523391737964, -123.07176353561131
Fully Actuated;"{""coordinates"": [-123.04428223681384, 49.261951969442165], ""type"": ""Point""}";Hastings-Sunrise;49.261951969442165, -123.04428223681384
Fully Actuated;"{""coordinates"": [-123.12807425680678, 49.233951649094145], ""type"": ""Point""}";Shaughnessy;49.233951649094145, -123.12807425680678
Fixed Time;"{""coordinates"": [-123.12599609288492, 49.28118734766386], ""type"": ""Point""}";West End;49.28118734766386, -123.12599609288492
Semi Actuated;"{""coordinates"": [-123.15276615583399, 49.26813109058447], ""type"": ""Point""}";Kitsilano;49.26813109058447, -123.15276615583399
Fixed Time;"{""coordinates"": [-123.12528704465294, 49.28712486198383], ""type"": ""Point""}";Downtown;49.28712486198383, -123.12528704465294
Pedestrian Actuated Signal;"{""coordinates"": [-123.14281769812361, 49.284530412463454], ""type"": ""Point""}";West End;49.284530412463454, -123.14281769812361
Semi Actuated;"{""coordinates"": [-123.0236007103326, 49.214805960033274], ""type"": ""Point""}";Killarney;49.214805960033274, -123.0236007103326
Semi Actuated;"{""coordinates"": [-123.1236925385451, 49.273439737695305], ""type"": ""Point""}";Downtown;49.273439737695305, -123.1236925385451
Pedestrian Actuated Signal;"{""coordinates"": [-123.14185416446338, 49.2831070602583], ""type"": ""Point""}";West End;49.2831070602583, -123.14185416446338
Pedestrian Actuated Signal;"{""coordinates"": [-123.09024522397382, 49.24463695316142], ""type"": ""Point""}";Riley Park;49.24463695316142, -123.09024522397382
Fixed Time;"{""coordinates"": [-123.12460642141609, 49.27820422632658], ""type"": ""Point""}";Downtown;49.27820422632658, -123.12460642141609
Fixed Time;"{""coordinates"": [-123.13866363317712, 49.260771808064725], ""type"": ""Point""}";Fairview;49.260771808064725, -123.13866363317712
Fixed Time;"{""coordinates"": [-123.12497428209322, 49.28052804920113], ""type"": ""Point""}";Downtown;49.28052804920113, -123.12497428209322
Semi Actuated;"{""coordinates"": [-123.15529745055348, 49.26386661560618], ""type"": ""Point""}";Kitsilano;49.26386661560618, -123.15529745055348
Semi Actuated;"{""coordinates"": [-123.1778764701648, 49.26335359993764], ""type"": ""Point""}";Kitsilano;49.26335359993764, -123.1778764701648
Semi Actuated;"{""coordinates"": [-123.11760650585038, 49.26043476772306], ""type"": ""Point""}";Fairview;49.26043476772306, -123.11760650585038
Fixed Time;"{""coordinates"": [-123.15345963245156, 49.24210020375333], ""type"": ""Point""}";Arbutus Ridge;49.24210020375333, -123.15345963245156
Semi Actuated;"{""coordinates"": [-123.0339805517545, 49.244557623274446], ""type"": ""Point""}";Renfrew-Collingwood;49.244557623274446, -123.0339805517545
Semi Actuated;"{""coordinates"": [-123.1148404031805, 49.26406133292449], ""type"": ""Point""}";Fairview;49.26406133292449, -123.1148404031805
Semi Actuated;"{""coordinates"": [-123.11677104318774, 49.21905362573602], ""type"": ""Point""}";Oakridge;49.21905362573602, -123.11677104318774
Fixed Time;"{""coordinates"": [-123.11813081113381, 49.27610458051561], ""type"": ""Point""}";Downtown;49.27610458051561, -123.11813081113381
Fixed Time;"{""coordinates"": [-123.10678798525703, 49.282930189406365], ""type"": ""Point""}";Downtown;49.282930189406365, -123.10678798525703
Semi Actuated;"{""coordinates"": [-123.12859060070724, 49.21920403121219], ""type"": ""Point""}";Oakridge;49.21920403121219, -123.12859060070724
Semi Actuated;"{""coordinates"": [-123.13037755937475, 49.20457489818425], ""type"": ""Point""}";Marpole;49.20457489818425, -123.13037755937475
Fixed Time;"{""coordinates"": [-123.09977226537993, 49.27857850272499], ""type"": ""Point""}";Downtown;49.27857850272499, -123.09977226537993
Fixed Time;"{""coordinates"": [-123.1161586140664, 49.28122479403443], ""type"": ""Point""}";Downtown;49.28122479403443, -123.1161586140664
Pedestrian Actuated Signal;"{""coordinates"": [-123.06970925036703, 49.265075748395105], ""type"": ""Point""}";Grandview-Woodland;49.265075748395105, -123.06970925036703
Pedestrian Actuated Signal;"{""coordinates"": [-123.06207728628912, 49.259512463837034], ""type"": ""Point""}";Kensington-Cedar Cottage;49.259512463837034, -123.06207728628912
Pedestrian Actuated Signal;"{""coordinates"": [-123.03362385475644, 49.23644805094029], ""type"": ""Point""}";Renfrew-Collingwood;49.23644805094029, -123.03362385475644
Fixed Time;"{""coordinates"": [-123.12241388954685, 49.28095295180958], ""type"": ""Point""}";Downtown;49.28095295180958, -123.12241388954685
Fixed Time;"{""coordinates"": [-123.1154060583567, 49.24899087459865], ""type"": ""Point""}";South Cambie;49.24899087459865, -123.1154060583567
Pedestrian Actuated Signal;"{""coordinates"": [-123.17106566546154, 49.26840949351796], ""type"": ""Point""}";Kitsilano;49.26840949351796, -123.17106566546154
Semi Actuated;"{""coordinates"": [-123.02832198758679, 49.28112204004969], ""type"": ""Point""}";Hastings-Sunrise;49.28112204004969, -123.02832198758679
Semi Actuated;"{""coordinates"": [-123.12150110877901, 49.20830307005125], ""type"": ""Point""}";Marpole;49.20830307005125, -123.12150110877901
Semi Actuated;"{""coordinates"": [-123.02372059135364, 49.242567273102054], ""type"": ""Point""}";Renfrew-Collingwood;49.242567273102054, -123.02372059135364
Pedestrian Actuated Signal;"{""coordinates"": [-123.0736856571676, 49.2595909902073], ""type"": ""Point""}";Kensington-Cedar Cottage;49.2595909902073, -123.0736856571676
Pedestrian Actuated Signal;"{""coordinates"": [-123.18512738943416, 49.2564839866592], ""type"": ""Point""}";Dunbar-Southlands;49.2564839866592, -123.18512738943416
Fixed Time;"{""coordinates"": [-123.10233644329749, 49.27953002832668], ""type"": ""Point""}";Downtown;49.27953002832668, -123.10233644329749
Pedestrian Actuated Signal;"{""coordinates"": [-123.05976625967679, 49.28116350397078], ""type"": ""Point""}";Grandview-Woodland;49.28116350397078, -123.05976625967679
Pedestrian Actuated Signal;"{""coordinates"": [-123.06966907004926, 49.26709406181594], ""type"": ""Point""}";Grandview-Woodland;49.26709406181594, -123.06966907004926
Fully Actuated;"{""coordinates"": [-123.12754634403683, 49.249231613211585], ""type"": ""Point""}";Shaughnessy;49.249231613211585, -123.12754634403683
Fixed Time;"{""coordinates"": [-123.11582734325418, 49.28657717453853], ""type"": ""Point""}";Downtown;49.28657717453853, -123.11582734325418
Fully Actuated;"{""coordinates"": [-123.07703099164465, 49.23271457152516], ""type"": ""Point""}";Kensington-Cedar Cottage;49.23271457152516, -123.07703099164465
Pedestrian Actuated Signal;"{""coordinates"": [-123.17784387218283, 49.264238221057994], ""type"": ""Point""}";Kitsilano;49.264238221057994, -123.17784387218283
Fixed Time;"{""coordinates"": [-123.05655071343905, 49.28114609759284], ""type"": ""Point""}";Grandview-Woodland;49.28114609759284, -123.05655071343905
Fixed Time;"{""coordinates"": [-123.12440384075106, 49.282240672199876], ""type"": ""Point""}";West End;49.282240672199876, -123.12440384075106
Pedestrian Actuated Signal;"{""coordinates"": [-123.13110624924283, 49.288676495408644], ""type"": ""Point""}";West End;49.288676495408644, -123.13110624924283
Semi Actuated;"{""coordinates"": [-123.15204968603997, 49.23452278907267], ""type"": ""Point""}";Shaughnessy;49.23452278907267, -123.15204968603997
