TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y,CRIME_CATEGORY
Break and Enter Commercial,2020,4,30,8,44,6XX CAMBIE ST,Central Business District,491821.5648,5458582.6758,Commercial
Break and Enter Commercial,2020,4,25,10,58,6XX DAVIE ST,Central Business District,490842.8923,5458259.0632,Commercial
Break and Enter Commercial,2020,3,30,2,43,6XX DAVIE ST,Central Business District,490875.5516,5458213.5345,Commercial
Break and Enter Commercial,2020,4,11,8,0,6XX DENMAN ST,West End,490235.9762,5459961.6295,Commercial
Break and Enter Commercial,2020,3,6,15,59,6XX DUNSMUIR ST,Central Business District,491547.4218,5458974.7623,Commercial
Break and Enter Commercial,2020,12,19,23,35,6XX DUNSMUIR ST,Central Business District,491547.5422,5458974.6376,Commercial
Break and Enter Commercial,2020,11,16,4,22,6XX E 15TH AVE,Mount Pleasant,493431.8331,5456054.3172,Commercial
Break and Enter Commercial,2020,3,8,0,0,6XX E 5TH AVE,Mount Pleasant,493434.309,5457042.7625,Commercial
Break and Enter Commercial,2020,4,5,18,30,6XX E 6TH AVE,Mount Pleasant,493411.6206,5456951.0887,Commercial
Break and Enter Commercial,2020,1,10,7,0,6XX E 7TH AVE,Mount Pleasant,493442.5004,5456841.1333,Commercial
Break and Enter Commercial,2020,3,29,22,0,6XX E 7TH AVE,Mount Pleasant,493442.5004,5456841.1333,Commercial
Break and Enter Commercial,2020,6,4,11,23,6XX E 8TH AVE,Mount Pleasant,493462.248,5456748.7121,Commercial
Break and Enter Commercial,2020,12,27,0,0,6XX E 8TH AVE,Mount Pleasant,493462.248,5456748.7121,Commercial
Break and Enter Commercial,2020,10,1,4,45,6XX E BROADWAY AVE,Mount Pleasant,493400.7434,5456644.6051,Commercial
Break and Enter Commercial,2020,1,10,1,0,6XX E BROADWAY AVE,Mount Pleasant,493420.0038,5456635.3117,Commercial
Break and Enter Commercial,2020,3,2,1,15,6XX E BROADWAY AVE,Mount Pleasant,493420.0038,5456635.3117,Commercial
